,Condition,Mouse,Compound,value,Tissue
753,Exercise,5,NADH,13.634511752334937,heart
754,Sedentary,6,NADH,13.862945081219005,heart
755,Exercise,7,NADH,11.966487962560826,heart
756,Sedentary,8,NADH,13.959571469471776,heart
757,Exercise,9,NADH,10.722183286383387,heart
758,Sedentary,10,NADH,14.007106880522347,heart
759,Exercise,11,NADH,12.522675964649398,heart
760,Sedentary,12,NADH,13.35442351510141,heart
761,Exercise,13,NADH,11.017660419502544,heart
762,Sedentary,14,NADH,12.87393372038506,heart
763,Exercise,15,NADH,13.061315119451294,heart
764,Sedentary,16,NADH,13.034084317970478,heart
765,Exercise,1,ATP,15.733683251955318,heart
766,Sedentary,2,ATP,14.747454754068205,heart
767,Exercise,3,ATP,17.344885856597866,heart
768,Exercise,5,ATP,16.688630332237537,heart
769,Sedentary,6,ATP,14.45695169596842,heart
770,Exercise,7,ATP,13.975652735270472,heart
771,Sedentary,8,ATP,15.351896329117762,heart
772,Exercise,9,ATP,12.039859752010086,heart
773,Sedentary,10,ATP,13.698949638351607,heart
774,Exercise,11,ATP,14.324969716020597,heart
775,Sedentary,12,ATP,15.620913845332348,heart
776,Exercise,13,ATP,13.953832696599914,heart
777,Sedentary,14,ATP,14.675045519071208,heart
778,Exercise,15,ATP,16.39652696645236,heart
779,Sedentary,16,ATP,14.625162405457742,heart
0,Exercise,1,glutamate,21.575260320910253,kidney
1,Sedentary,2,glutamate,20.868920713595845,kidney
2,Exercise,3,glutamate,21.119217600487506,kidney
3,Exercise,5,glutamate,20.585739741249586,kidney
4,Sedentary,6,glutamate,20.44068806363521,kidney
5,Exercise,7,glutamate,20.667161910035194,kidney
6,Sedentary,8,glutamate,19.77118635380105,kidney
7,Exercise,9,glutamate,21.546557447682193,kidney
8,Sedentary,10,glutamate,21.075265975701036,kidney
9,Exercise,11,glutamate,22.66313350888767,kidney
10,Sedentary,12,glutamate,20.081809613528314,kidney
11,Exercise,13,glutamate,19.864857362033888,kidney
12,Exercise,15,glutamate,22.488768891656605,kidney
13,Sedentary,16,glutamate,23.90669611450341,kidney
70,Exercise,1,phosphoenolpyruvate,7.403937935644454,kidney
71,Sedentary,2,phosphoenolpyruvate,7.286921255640608,kidney
72,Exercise,3,phosphoenolpyruvate,7.051859484475875,kidney
73,Exercise,5,phosphoenolpyruvate,7.233369699857333,kidney
74,Sedentary,6,phosphoenolpyruvate,7.356472792885227,kidney
75,Exercise,7,phosphoenolpyruvate,7.732118939527033,kidney
76,Sedentary,8,phosphoenolpyruvate,7.549302745514217,kidney
77,Exercise,9,phosphoenolpyruvate,7.23400503530279,kidney
78,Sedentary,10,phosphoenolpyruvate,7.742563589840532,kidney
79,Exercise,11,phosphoenolpyruvate,7.376525769564184,kidney
80,Sedentary,12,phosphoenolpyruvate,7.301352134019054,kidney
81,Exercise,13,phosphoenolpyruvate,7.745921552438258,kidney
82,Exercise,15,phosphoenolpyruvate,7.286756780522993,kidney
83,Sedentary,16,phosphoenolpyruvate,7.412618330752781,kidney
