,Sample,Compound,APE,Plasma_Glutamine_APE,Condition,FC_Gln_Substrate,Tissue
0,1,a-ketoglutarate,0.13865374470560307,0.10346535695772785,Exercise,1.3400982588041706,liver
1,2,a-ketoglutarate,0.11528822098720251,0.07938803593591716,Sedentary,1.452211528198838,liver
2,3,a-ketoglutarate,0.11459423532493693,0.1294206661597859,Exercise,0.8854400052573992,liver
3,4,a-ketoglutarate,0.12108407953661926,0.07726959114141162,Exercise,1.5670340394971476,liver
4,5,a-ketoglutarate,0.12306376419471912,0.06733278000347986,Sedentary,1.827694685832948,liver
5,6,a-ketoglutarate,0.17714882316572508,0.07230068379896054,Exercise,2.450168018580648,liver
6,7,a-ketoglutarate,0.10175754280292945,0.10979942568510855,Sedentary,0.9267584249006708,liver
7,8,a-ketoglutarate,0.10680833464845721,0.06888971763403963,Exercise,1.5504249155999055,liver
8,9,a-ketoglutarate,0.12383997823871032,0.07486253314563235,Sedentary,1.6542317369598043,liver
9,10,a-ketoglutarate,0.10755709886378502,0.06796373840095314,Exercise,1.5825659593539458,liver
10,11,a-ketoglutarate,0.12175051673741596,0.09491749002750353,Sedentary,1.2826984436918552,liver
11,12,a-ketoglutarate,0.11620093852652946,0.12044116634955242,Exercise,0.9647941982667564,liver
12,13,a-ketoglutarate,0.13741960411260695,0.11075127173367383,Sedentary,1.2407948185287034,liver
13,14,a-ketoglutarate,0.11521283251050496,0.09901828859596734,Exercise,1.1635510383401755,liver
14,15,a-ketoglutarate,0.13380856966431082,0.09203006205264677,Sedentary,1.4539658746265347,liver
15,1,aspartate,0.00961058611190365,0.10346535695772785,Exercise,0.09288699516911911,liver
16,2,aspartate,0.007017947171426086,0.07938803593591716,Sedentary,0.08840056424989585,liver
17,3,aspartate,0.009087155915978704,0.1294206661597859,Exercise,0.0702141024738621,liver
18,4,aspartate,0.008700420682567949,0.07726959114141162,Exercise,0.11259824924717472,liver
19,5,aspartate,0.011372172406541602,0.06733278000347986,Sedentary,0.16889503754269272,liver
20,6,aspartate,0.014523745531827661,0.07230068379896054,Exercise,0.20087978105729157,liver
21,7,aspartate,0.01118380688847695,0.10979942568510855,Sedentary,0.10185669750724155,liver
